,text,favourite_count,retweet_count,created_at,author_id
0,"RT @Musketieres: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#…",0,6,2021-07-28 23:59:40,victor roberto oliveira lima
1,Q diferença entre a #BandNews e a #CNNLixo. Enquanto a #Band dá notícias variadas a #CNN clone da #GloboLixo só dá notícia anti-governo federal. #Bolsonaro #MRV #rubensmenin,0,0,2021-07-28 23:56:06,LucioTepeJr
2,"RT @ottoalencar: Há quase 2 meses apontei na #CPIdaCovid ao ministro Marcelo #Queiroga, o grave erro que o governo #Bolsonaro vinha cometen…",0,137,2021-07-28 23:55:55,Paulo Grossi
3,#Bolsonaro decidisse. Vc é a favor da Cloroquina ou não? A vacina transforma as pessoas em jacaré ou não? Essa parada de fazer merda e depois dizer que não foi vc tá cansado o brasileiro. Já vi que a máscara não estar só por conta da pandemia e sim pq faz parte de sua vida.🧐,0,0,2021-07-28 23:54:06,Leituras_que_amei
4,"RT @LuisPatria17: OPOSICIONISTA MUDA DE OPINIÃO

Parece que as negociações de Bolsonaro, por alianças políticas, começaram a surtir efeito…",0,4,2021-07-28 23:52:28,"🇧🇷 Samuel 4,7K 🇧🇷 Contagem PÚBLICA de Votos"
5,"RT @Musketieres: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#…",0,6,2021-07-28 23:52:20,Jose Carlos Morais 😎 #TratamentoPrecoceJa
6,"RT @V4ldeirOficial: Não perguntes o que a tua pátria pode fazer por ti
Pergunta o que tu podes fazer por ela
J.Ken
#MosqueteirosPatriotas
#…",0,21,2021-07-28 23:50:14,Ndcampos
7,"RT @V4ldeirOficial: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCP…",0,10,2021-07-28 23:48:36,J31P
8,"RT @V4ldeirOficial: Não perguntes o que a tua pátria pode fazer por ti
Pergunta o que tu podes fazer por ela
J.Ken
#MosqueteirosPatriotas
#…",0,21,2021-07-28 23:46:49,Marcos
9,"RT @V4ldeirOficial: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCP…",0,6,2021-07-28 23:43:02,Marcos
10,"RT @MARIAKI55546623: BOLSONARO MELHOR Presidente que Brasil 🇧🇷 já teve #BOLSONARO 2022 
*#AVANTE_BRASIL🔰🇧🇷🔰*
*#BRASIL_ACIMAdeTUDO🔰🇧🇷🔰    #D…",0,4,2021-07-28 23:41:36,Ciro Rezende
11,"RT @Musketieres: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#…",0,6,2021-07-28 23:40:58,Marcos
12,"RT @ArrowPatriota: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF…",0,5,2021-07-28 23:40:49,victor roberto oliveira lima
13,"RT @AlexWitzleben: China, Russia, Brazil and Australia all have energy policies associated with 5C rises in atmospheric temperatures, a hea…",0,2,2021-07-28 23:40:28,Sandi Walters
14,"RT @tvcultura: Após fala de Bolsonaro, Supremo Tribunal Federal (STF) voltou a negar que proibiu o Governo Federal de agir contra a pandemi…",0,8,2021-07-28 23:38:19,OBADIAS ANDRADE
15,"O #MinSaude não fica nem vermelho...
A vacinação e algum controle da pandemia, no Brasil, não tem dedo ou gestão de #Bolsonaro, muito peo contrário, a #CPI tem mostrado que por ele, muitos mais teriam morrido com kit e imunização de rebanho.

@minsaude",2,0,2021-07-28 23:36:58,Juliana
16,#governo #Bolsonaro  A piada e o vexame em rede nacional 🤣🤣🤣🤣,0,0,2021-07-28 23:36:40,Junior Knowles Carter
17,"RT @V4ldeirOficial: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCP…",0,6,2021-07-28 23:35:24,Marcos Necão
18,"O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#ArqueirosPatriotas
#ApoioJB2022
#Bolsonaro
SDV Direita👇
@ValLiesner
@BRQuerido
@ArrowPatriota
@VlmRobo
@VLM_Of
@V4ldeirOficial
@Valofic
@Musketieres
@FoxMG https://t.co/FHSbxyv98o",13,6,2021-07-28 23:34:43,valdeir Brasileiro 🇧🇷
19,"O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#ArqueirosPatriotas
#ApoioJB2022
#Bolsonaro
SDV Direita👇
@ValLiesner
@BRQuerido
@ArrowPatriota
@VlmRobo
@VLM_Of
@V4ldeirOficial
@Valofic
@Musketieres
@FoxMG https://t.co/rXqU1dhpvg",7,6,2021-07-28 23:33:39,Valdeir mineirim 🇧🇷
20,"Ça va pas arranger son cas avec @annelaurebonnet .. mais ça ne m'étonne en rien du tout à son sujet .
#Bolsonaro https://t.co/SRSjAqEkJ8",0,0,2021-07-28 23:32:32,Sam Deghout
21,Esse frio absurdo certeza que também é culpa do #Bolsonaro.,0,0,2021-07-28 23:32:02,Interpolado
22,"Alerta vermelho: Bolsonaro encontra campo fértil para golpe no Brasil.
Mais da metade dos brasileiros insatisfeitos aceitaria um ""líder que quebrasse as regras""
#Bolsonaro #insatisfação #desânimo #pesquisa #ranking #ipsos #sociedadefalida 
 https://t.co/wkfmo9IJX1",2,0,2021-07-28 23:31:50,Opinião Sem Medo
23,"A cura para a maioria das doenças mundo hoje. Porque não legalizam? Dinheiro sempre fudendo o mundo. 
Assista esse vídeo, vai mudar sua visão
#globo
#Bolsonaro
#lula
#maconha
#marijuana
#cura
#paz
https://t.co/FtuzOcdYDa",0,0,2021-07-28 23:30:38,Profeta Chapado
24,#bolsonaro genocida! Impeachment já! https://t.co/WkiRS3ISCo,1,0,2021-07-28 23:29:20,rosicleide ferreira
25,@_NOALCOMUNISMO @ramonra85539197 Grande #Bolsonaro!!,0,0,2021-07-28 23:24:42,CATAUROCUBANO
26,"Uma mentira repetida mil vezes não vira verdade,ouviu #Bolsonaro e #bolsonaristas??? https://t.co/qOsfZoUKMh",0,0,2021-07-28 23:23:01,leila mattos
27,@LaurinhaIronic @lilvinicinha #bolsonaro,9,0,2021-07-28 23:21:19,Paarthurnax 🐲
28,"Todo mundo sabe que o #bolsonaro é um sujeito de famíli… cia…

#forabolsonaro #bolsonarogenocida https://t.co/uDcBWczY9A",0,0,2021-07-28 23:19:47,Revista Super Literário
29,"RT @carlosgiannazi: O fundão eleitoral de mais de R$5,7 bi durante a pandemia #Bolsonaro não vetou, mas um projeto que facilita acesso a re…",0,6,2021-07-28 23:18:40,Jonathan Vaz
30,"RT @V4ldeirOficial: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCP…",0,10,2021-07-28 23:18:02,Marcos1966
31,"RT @Valofic: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#Arqu…",0,3,2021-07-28 23:08:55,victor roberto oliveira lima
32,RT @da_redacao: #OrlandoDrummond  #bolsonaro #robertojefferson #danielpolcaro https://t.co/Ibqe8Abe9y,0,1,2021-07-28 23:07:38,Daniel Polcaro
33,"RT @albertosilva_BR: Eu depositei todas as minhas confianças em #Bolsonaro , entendo que ele precisa governar, mas, pensei que ele iria esc…",0,3,2021-07-28 23:05:56,Jociadson
34,"RT @V4ldeirOficial: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCP…",0,8,2021-07-28 23:05:51,victor roberto oliveira lima
35,"#bolsonaro #bdsm #domme #footfetish 
Só tag boa fml https://t.co/2yH6MjvZB6",4,0,2021-07-28 23:05:25,Lucas Oliveira
36,"RT @Valofic: O que me preocupa não é o grito dos maus.
É o Silêncio dos Bons.
Martin Luther King

#MosqueteirosPatriotas
#RobosComCPF
#Arqu…",0,3,2021-07-28 23:03:17,victor roberto oliveira lima
37,@sakvrinha Boa. Noi te #bolsonaro,0,0,2021-07-28 23:02:18,Jesus is king
38,#OrlandoDrummond  #bolsonaro #robertojefferson #danielpolcaro https://t.co/Ibqe8Abe9y,0,1,2021-07-28 23:01:34,Da Redação
39,"RT @VANMARICATO: Só li verdades.
#BolsonaroPresidenteAte2026 
#Bolsonaro 
@jairbolsonaro https://t.co/ipJAIo5tyC",0,17,2021-07-28 22:58:07,SÔNIA SOBRAL BOLSONARO ATÉ O FIM!🇧🇷💚💛 3°CONTA!
40,"RT @rosepaixao_on: #Bolsonaro #CiroNogueira #DiaDoAgricultor
Avisado: Bolsonaro traiu e será traído! Ciro Nogueira com a alma e o dinheiro…",0,1,2021-07-28 22:55:24,A.CarvalhoPT ***Agora É pra Valer É #Lula2022 ***
41,"RT @rosepaixao_on: ACORDA POVO!!!! UM POVO QUE PENSA, NÃO SABE A FORÇA QUE TEM... 🔥🔥🔥🔥🔥🔥

POVO DISTRAÍDO NÃO VÊ A BOIADA PASSAR🤡
#Bolsonaro…",0,2,2021-07-28 22:54:07,DAIRLEY
42,"ACORDA POVO!!!! UM POVO QUE PENSA, NÃO SABE A FORÇA QUE TEM... 🔥🔥🔥🔥🔥🔥

POVO DISTRAÍDO NÃO VÊ A BOIADA PASSAR🤡
#Bolsonaro #CiroNogueira #DiaDoAgricultor
Avisado: Bolsonaro traiu e será traído! Ciro Nogueira com a alma e o dinheiro do governo na mão!
https://t.co/rRZrJh6VUG",1,2,2021-07-28 22:52:55,Rose Paixão
43,"RT @em_com: Jair #Bolsonaro concede medalha de mérito a #MichelleBolsonaro

https://t.co/R1ZKNoKQsA https://t.co/UMXK1RsEN6",0,4,2021-07-28 22:51:23,Lourdesoliveira
44,"RT @AmericaElige: Brazil, Futura Inteligência/Modalmais poll:

Second round

Lula (PT, centre-left): 61% 
Bolsonaro (ApB, right): 39% 

Fie…",0,23,2021-07-28 22:49:21,David Clarke ☭ 🇵🇸 🇨🇺 🚩
45,"RT @AmericaElige: Brazil, Futura Inteligência/Modalmais poll:

Lula (PT, centre-left): 47% 
Bolsonaro (ApB, right): 33%
Gomes (PDT, centre-…",0,13,2021-07-28 22:49:09,David Clarke ☭ 🇵🇸 🇨🇺 🚩
46,"RT @AmericaElige: Brazil, Futura Inteligência/Modalmais poll:

Lula (PT, centre-left): 39% 
Bolsonaro (ApB, right): 29%
Gomes (PDT, centre-…",0,8,2021-07-28 22:49:04,Dois dedos de prosa
47,"RT @AmericaElige: Brazil, Futura Inteligência/Modalmais poll:

Lula (PT, centre-left): 39% 
Bolsonaro (ApB, right): 29%
Gomes (PDT, centre-…",0,8,2021-07-28 22:49:01,David Clarke ☭ 🇵🇸 🇨🇺 🚩
48,"#Bolsonaro #CiroNogueira #DiaDoAgricultor
Avisado: Bolsonaro traiu e será traído! Ciro Nogueira com a alma e o dinheiro do governo na mão!
https://t.co/rRZrJh6VUG",2,1,2021-07-28 22:47:07,Rose Paixão
